,begin_time,Active Parallel Sessions,Active Serial Sessions,Average Active Sessions,Average Synchronous Single-Block Read Latency,Background CPU Usage Per Sec,Background Checkpoints Per Sec,Background Time Per Sec,Branch Node Splits Per Sec,Branch Node Splits Per Txn,Buffer Cache Hit Ratio,CPU Usage Per Sec,CPU Usage Per Txn,CR Blocks Created Per Sec,CR Blocks Created Per Txn,CR Undo Records Applied Per Sec,CR Undo Records Applied Per Txn,Captured user calls,Cell Physical IO Interconnect Bytes,Consistent Read Changes Per Sec,Consistent Read Changes Per Txn,Consistent Read Gets Per Sec,Consistent Read Gets Per Txn,Current Logons Count,Current OS Load,Current Open Cursors Count,Cursor Cache Hit Ratio,DB Block Changes Per Sec,DB Block Changes Per Txn,DB Block Changes Per User Call,DB Block Gets Per Sec,DB Block Gets Per Txn,DB Block Gets Per User Call,DBWR Checkpoints Per Sec,DDL statements parallelized Per Sec,DML statements parallelized Per Sec,Database CPU Time Ratio,Database Time Per Sec,Database Wait Time Ratio,Disk Sort Per Sec,Disk Sort Per Txn,Enqueue Deadlocks Per Sec,Enqueue Deadlocks Per Txn,Enqueue Requests Per Sec,Enqueue Requests Per Txn,Enqueue Timeouts Per Sec,Enqueue Timeouts Per Txn,Enqueue Waits Per Sec,Enqueue Waits Per Txn,Execute Without Parse Ratio,Executions Per Sec,Executions Per Txn,Executions Per User Call,Full Index Scans Per Sec,Full Index Scans Per Txn,GC CR Block Received Per Second,GC CR Block Received Per Txn,GC Current Block Received Per Second,GC Current Block Received Per Txn,Global Cache Average CR Get Time,Global Cache Average Current Get Time,Global Cache Blocks Corrupted,Global Cache Blocks Lost,Hard Parse Count Per Sec,Hard Parse Count Per Txn,Host CPU Usage Per Sec,Host CPU Utilization (%),I/O Megabytes per Second,I/O Requests per Second,Leaf Node Splits Per Sec,Leaf Node Splits Per Txn,Library Cache Hit Ratio,Library Cache Miss Ratio,Logical Reads Per Sec,Logical Reads Per Txn,Logical Reads Per User Call,Logons Per Sec,Logons Per Txn,Long Table Scans Per Sec,Long Table Scans Per Txn,Memory Sorts Ratio,Network Traffic Volume Per Sec,Open Cursors Per Sec,Open Cursors Per Txn,PGA Cache Hit %,PQ QC Session Count,PQ Slave Session Count,PX downgraded 1 to 25% Per Sec,PX downgraded 25 to 50% Per Sec,PX downgraded 50 to 75% Per Sec,PX downgraded 75 to 99% Per Sec,PX downgraded to serial Per Sec,PX operations not downgraded Per Sec,Parse Failure Count Per Sec,Parse Failure Count Per Txn,Physical Read Bytes Per Sec,Physical Read IO Requests Per Sec,Physical Read Total Bytes Per Sec,Physical Read Total IO Requests Per Sec,Physical Reads Direct Lobs Per Sec,Physical Reads Direct Lobs Per Txn,Physical Reads Direct Per Sec,Physical Reads Direct Per Txn,Physical Reads Per Sec,Physical Reads Per Txn,Physical Write Bytes Per Sec,Physical Write IO Requests Per Sec,Physical Write Total Bytes Per Sec,Physical Write Total IO Requests Per Sec,Physical Writes Direct Lobs  Per Txn,Physical Writes Direct Lobs Per Sec,Physical Writes Direct Per Sec,Physical Writes Direct Per Txn,Physical Writes Per Sec,Physical Writes Per Txn,Process Limit %,Queries parallelized Per Sec,Recursive Calls Per Sec,Recursive Calls Per Txn,Redo Allocation Hit Ratio,Redo Generated Per Sec,Redo Generated Per Txn,Redo Writes Per Sec,Redo Writes Per Txn,Replayed user calls,Response Time Per Txn,Row Cache Hit Ratio,Row Cache Miss Ratio,Rows Per Sort,Run Queue Per Sec,SQL Service Response Time,Session Count,Session Limit %,Shared Pool Free %,Soft Parse Ratio,Streams Pool Usage Percentage,Temp Space Used,Total Index Scans Per Sec,Total Index Scans Per Txn,Total PGA Allocated,Total PGA Used by SQL Workareas,Total Parse Count Per Sec,Total Parse Count Per Txn,Total Sorts Per User Call,Total Table Scans Per Sec,Total Table Scans Per Txn,Total Table Scans Per User Call,Txns Per Logon,User Calls Per Sec,User Calls Per Txn,User Calls Ratio,User Commits Per Sec,User Commits Percentage,User Limit %,User Rollback Undo Records Applied Per Txn,User Rollback UndoRec Applied Per Sec,User Rollbacks Per Sec,User Rollbacks Percentage,User Transaction Per Sec,VM in bytes Per Sec,VM out bytes Per Sec,Workload Capture and Replay status,DIFF_KB
10,2019-01-25  00,0.0,1.44262295081967,0.451037703967701,1.13658437565841,2.7064229479754704,0.0,0.158493973055368,0.000547451764234381,0.000120436595846432,90.3085021314968,12.2048848734182,4.02922649654816,0.0819877805875602,0.0300931004279102,0.0369252719655483,0.010016595823069999,0.0,117090169.704918,8.81027218341136,2.98571881379767,2390.32391010855,810.5088837880611,61.360655737704896,0.607934170081967,231.40983606557398,11861.9859740876,140.233741232934,43.1044047032827,20.676395354045397,181.55414844093002,59.258356083130295,26.456616109533897,0.00464645406349354,0.0,0.0,26.0175982737889,45.1037703967701,73.9824017262111,0.0,0.0,0.0,0.0,48.516304471092994,18.6825561025154,0.0235338959055811,0.0058890884379609,0.007380885250411379,0.00181184361341928,95.5984559242488,83.4845800093858,27.925265921436896,12.012489222048302,0.0956573352435719,0.0209676077967206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27438107440020004,0.0832193030294473,27.466019813681697,20.954774727803198,1.86099285759888,208.73472483101398,0.120235471331053,0.0329534678977124,99.54640433039049,0.454609674255464,2571.87805854948,869.7672398711909,370.682996071511,0.076780738747651,0.0286260468665566,0.000273771586889626,5.53832521045636e-05,100.0,759.051619724544,79.5996438809379,26.433756407006396,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0207733391110758,0.00432979636745331,1674895.6465625,184.44010799913997,1735583.599423,188.14594396160302,0.0,0.0,0.0,0.0,204.455034980774,78.4321234027459,148986.97056925198,14.1228524048318,215985.196844733,20.7571339645891,0.0030375819491242897,0.00710702533931207,1.12792790206544,0.22977661606520802,18.1868860558169,6.842262038022651,24.120218579235,0.0,151.007375744074,45.88877269447121,100.0,21910.1504097221,6636.4578041939,2.7496389427599994,1.03141023011846,0.0,15.636733413761402,97.4677261277224,2.5322738722775697,2996.72765842239,0.0,0.386063842404349,76.4426229508197,16.195470964156698,9.49227145446004,97.5928447145913,0.0,23171810.6229508,190.854388147762,57.677369927097594,251645129.442623,73862.2950819672,7.265328487073231,1.88179027941677,0.5001902596132171,8.96831682490835,1.9002021076758502,1.43026534531658,40.7703081981771,7.412559645155901,2.9793289135732697,8.68834021911301,2.62361378165002,99.96036858225371,1.42866409737597e-06,0.000277969026960982,0.0013668508078668,0.00136630362990476,0.0396314177463484,2.62498008527993,0.0,0.0,0.0,1024.0
11,2019-01-25  02,0.0,1.3220338983050801,0.30799923963428,1.07036364466805,2.46681625055633,0.00028239174512450696,0.11297950700958001,0.0,0.0,91.52326437346349,8.03201393829228,3.34431161404204,0.112712926422851,0.0472826086523299,0.0146866295196616,0.0060133181908245395,0.0,85474911.4576271,3.45497904937228,1.51210595236128,1567.01735143385,662.239788123694,60.220338983050794,0.730717028601695,226.54237288135602,12989.395385191201,71.9418840358569,29.9634094570403,9.44210870693133,105.512193293712,44.176122254008206,13.890037190661301,0.000282438802572453,0.0,0.0,27.0078662095039,30.799923963428,72.99213379049621,0.0,0.0,0.0,0.0,48.937425437029,20.4653122894029,0.000564877605144905,0.000210548478787241,0.0,0.0,97.24204876050709,55.8826999948335,23.348494337880897,7.330565607437401,0.00451902084115924,0.0018635780250104699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.120037200888584,0.0473256353691908,27.321619079621396,20.214425101375,1.3584932265205902,164.980804226884,0.0446276939704153,0.017826256429702998,99.7868798984562,0.21403932668131798,1672.52954449228,706.4160400433501,221.944799909561,0.069775423879938,0.0294496363644385,0.0,0.0,100.0,784.36830560607,52.1097832055717,21.7778972432189,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1198476.48319402,142.192059770043,1258314.88598903,145.84596275132,0.0,0.0,0.0,0.0,146.298399818906,61.928018958078795,124342.049085097,13.2112228496399,166286.146078755,19.1707107802888,0.0027863606417854,0.00649982357792443,0.00649982357792443,0.0027863606417854,15.178472788708198,6.43212047551422,23.7401129943503,0.0,75.1807494497627,31.3563202756139,100.0,11178.3219546619,4624.9845115606295,2.40673731192353,1.00503918245155,0.0,12.898921275039502,98.555906486049,1.44409351395109,3338.6517068007897,0.0,0.39031413765702894,74.37288135593221,15.7569663889687,9.589565923658471,98.464855663348,0.0,23068672.0,95.2151971156728,40.1456110057626,238082967.86440697,0.0,1.89468598520591,0.7764669674524599,0.153920475194729,0.33187959455778604,0.13654262451284402,0.0449139027140858,40.7038740920097,7.655461869463901,3.1991893886732994,9.795709982964631,2.39852811944179,99.9856363114048,1.40211402897425e-06,0.000452679229392568,0.00112975521028981,0.000282438802572453,0.0143636885952313,2.3988105582443597,0.0,0.0,0.0,2048.0
12,2019-01-25  02,0.0,1.23333333333333,0.282426202879747,1.0643735564136199,2.26420724980105,0.0,0.109463170280202,0.00055546297839249,0.00022835335335335297,92.02987865936109,7.177065473156071,3.0028695729683297,0.173350713624287,0.0732994707605031,0.0105543091691355,0.00445670616777034,0.0,81600324.2666667,4.55590231222036,1.8814449762477499,1603.82654833143,678.025079308882,60.2333333333333,1.04327799479167,225.7,11920.6758803251,71.3700369375571,29.9636592451738,9.51069798050526,106.869165424093,44.9168168497513,14.2542847367222,0.0,0.0,0.0,25.793827726300698,28.242620287974702,74.2061722736993,0.0,0.0,0.0,0.0,63.1659152778991,26.955202395429,0.00055546297839249,0.000225225225225225,0.000277731489196245,0.00011037527593819,97.3660257634661,53.329097288426105,22.526684282584895,7.10714875443517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0208317631855792,0.00838984454941425,27.353476529052,20.116951581273,1.29721405012516,159.343229323555,0.04444177750533701,0.0183574201347532,99.95119604680019,0.0496529408656916,1710.69571375553,722.941896158633,229.10816520291402,0.071667033425297,0.0301854040865747,0.0,0.0,100.0,768.145084245686,49.78648896064529,21.0246636789976,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1135835.54468671,136.727126403015,1196228.34598311,140.431484709901,0.0,0.0,0.0,0.0,138.651799888515,58.6645499375537,122796.208349384,13.069303731127999,163767.750870327,18.926189573333897,0.00306763429931801,0.0075022800123134,0.0075022800123134,0.00306763429931801,14.9897715270245,6.35808188236727,23.744444444444397,0.0,69.8300646652488,29.440777278976604,100.0,10786.4233516107,4524.1687166291495,2.38254747604248,1.0040810283529,0.0,11.833115170514901,99.35877506846859,0.641224931531365,2793.8405834905498,0.0,0.36199788286931106,74.35,15.7521186440678,10.154889392852802,99.6253943422534,0.0,23068672.0,92.4041901956237,39.2545464532363,237876121.6,0.0,1.5551881415997602,0.625751779593477,0.117998361444571,0.203082281010417,0.0805858891946966,0.0268221906610488,38.9928093203093,7.516679884306999,3.1792957397828703,9.84999305620572,2.3730853384644504,100.0,1.40241657726833e-06,0.0,0.0,0.0,0.0,2.3730853384644504,0.0,0.0,0.0,2048.0
13,2019-01-25  03,0.0,2.2786885245901605,0.282608060805367,2.51673706889349,2.93104294944816,0.0,0.42303073661236207,0.00027345192031611,0.00023089355806972997,91.95694359906841,3.13850666039595,2.2945004706016805,0.117210349714721,0.0934955706367201,0.00737860238994712,0.00450664634280041,0.0,51560347.2786885,2.20062121360621,1.59503650547804,921.621330378886,705.908071642144,60.2622950819672,7.525246542008199,227.032786885246,10061.5801975418,42.658739814502894,31.017833802481398,9.76130733421547,62.3363628125218,45.832086080580794,14.4130002604635,0.0,0.0,0.0,12.0958473723521,28.2608060805367,87.9041526276478,0.0,0.0,0.0,0.0,17.315559631187302,14.3595850781037,0.000819763281757253,0.000606442737590279,0.0,0.0,97.15585452598059,31.151767450530098,23.4385346373492,7.26940265019956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0131123930406919,0.00586054127698444,29.706206085714197,83.4533174856195,0.819484710721113,98.70929545266429,0.039341407002303,0.0225859021808416,99.96275308285851,0.0381116642137701,983.9576931914079,751.740157722725,231.11865727654097,0.0598434228017495,0.0466952820671933,0.0,0.0,100.0,439.691911393776,29.039046577754604,21.818185597088103,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693119.894820166,83.21678712038658,749804.9451914941,86.6597843347005,0.0,0.0,0.0,0.0,84.6093621606648,63.4739236056895,77876.2600450929,8.31343483997201,109621.128754538,12.0597237238959,0.00242590691757286,0.0038264144247786296,0.0038264144247786296,0.00242590691757286,9.50637940003576,7.222747294346241,23.7540983606557,0.0,43.033784295216506,32.577238320386,100.0,6897.97302209099,4860.7630349816,1.35296277613899,1.01476334946805,0.0,23.497738034119703,99.8729853501312,0.127014649868772,3139.36774913943,0.0,0.645228435509153,74.5409836065574,15.7925812725757,10.7213126635942,99.82925307889221,0.0,23085861.7704918,55.688714411842696,42.096555939431894,236638829.114754,23938.0983606557,1.0939247785060602,0.70668667562911,0.104428203915096,0.18994447615348603,0.131252154132078,0.0435612647601763,26.558736664064497,4.28492767451571,3.24718545669044,9.17998249015693,1.33220720466195,100.0,1.40309089552607e-06,0.0,0.0,0.0,0.0,1.33220720466195,0.0,0.0,0.0,5120.0
14,2019-01-25  05,0.0,2.7333333333333303,0.28493852445362894,2.6144982469329903,3.4182033451450597,0.0,0.5450738698502821,0.0005553241743377269,0.000551001821493625,91.64123666772949,2.12733877602137,1.82473454771743,0.102215077566502,0.0867440112114926,0.00972611884869827,0.007903104789444379,0.0,45717196.8,1.38070423610796,1.0613993452525798,805.519802406557,690.4959885759849,59.4,11.199853515625,225.016666666667,10027.678734158,36.6631653478912,30.6729379921129,9.75222205527189,52.522881828985795,44.03806379744061,13.9918567074395,0.0,0.0,0.0,8.1572195400148,28.493852445362897,91.84278045998519,0.0,0.0,0.0,0.0,24.885662167581202,20.9094504950408,0.000277870401244859,0.00022222222222222202,0.0,0.0,97.03098685230509,26.4950353662426,22.4882025469593,7.09593792178645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0100025937039919,0.00766065210509655,30.2864772242548,99.8404834892169,0.7265249119711421,86.9367645120891,0.0338966106143732,0.0273094620903803,99.9708063062113,0.0300690439287545,858.0427237472991,734.532474095539,230.33728167706798,0.0586132180451843,0.0491022806130968,0.0,0.0,100.0,384.28445358077795,24.589550690606103,20.8586235753944,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610581.7763868921,73.1050598074592,666553.122247368,76.5221200134174,0.0,0.0,0.0,0.0,74.53390584013171,63.8648187810699,65476.031853876506,7.05077939357753,95248.0950892355,10.424963699992599,0.00172032420927516,0.00222134397235401,0.00222134397235401,0.00172032420927516,7.9926796696626505,6.84836343600722,23.466666666666697,0.0,37.7888170751194,31.978595088632,100.0,6105.54776276567,5092.304656835629,1.1723782453643998,0.993799373806958,0.0,24.4410953313056,99.9665122975869,0.0334877024131342,3346.8933528314697,0.0,0.7075719719003729,72.85,15.434322033898301,10.6453238487244,99.9213995506436,0.0,23138577.0666667,46.358207145930606,39.83046210211379,235109802.66666698,46080.0,0.9752202823459649,0.7584552674202051,0.0934444720806459,0.180651712728082,0.144922548946198,0.0498956931006223,23.9220436507937,3.7517495971416097,3.1904309429421605,9.25388807710034,1.1807432467156203,100.0,1.3830140236259898e-06,0.0,0.0,0.0,0.0,1.1807432467156203,0.0,0.0,0.0,2048.0
15,2019-01-25  06,0.0,2.7288135593220297,0.37134226022519107,3.27474193455298,3.99599799348825,0.0,0.579175197543663,0.000282532964533637,0.000302663438256659,91.78297538716672,2.6454635131724102,2.4361371547409902,0.0764520487715587,0.0712007542168579,0.007633867873829379,0.0075301854724299,0.0,43614364.20338979,2.2652293348864503,1.9134529563598501,737.188013622401,662.3047744527851,60.5084745762712,10.4386917372881,227.016949152542,9418.59767699058,36.7608027259502,33.380962897614104,10.2742167609871,54.0767636692535,48.92322403103871,15.0543201443363,0.0,0.0,0.0,8.77663052105716,37.1342260225191,91.2233694789428,0.0,0.0,0.0,0.0,22.921406745099503,20.5375900245918,0.000282721476936996,0.000256805341551104,0.0019780171602592302,0.00179283577837915,96.9202946826273,26.057793258593996,23.6187623379993,7.2354810554098705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009049692598443041,0.009106899366748371,30.266274467342,99.931358500079,0.6932962401253261,82.8897913353274,0.0336935689612685,0.0345266443488924,99.9655232027256,0.0344767972743965,791.264947608163,711.2254785201719,218.217247347663,0.0600434668994379,0.0535976634777596,0.0,0.0,100.0,368.297142508308,24.1964104271293,21.936605648959603,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578100.789985305,69.3386424218581,633952.758215795,72.7487014701071,0.0,0.0,0.0,0.0,70.5689433826486,63.70751304527921,63452.130375161396,6.8440638263922695,93056.76142112231,10.1498652949886,0.0011883286667949099,0.00141290102074527,0.00141290102074527,0.0011883286667949099,7.74562138368669,7.0386698540772406,23.836158192090398,0.0,37.3499352131371,33.8632055451834,100.0,6004.75273575495,5575.60413552944,1.12861084118618,1.0126520381737099,0.0,33.0644676886342,99.7995018191778,0.200498180822202,2611.67779541117,0.0,0.915097041702165,75.0508474576271,15.900603274921,11.3169520749884,99.4836025108996,0.0,23139761.898305103,46.2662269193299,42.6903816272759,234879635.52542403,46861.0169491525,0.9843688871252242,0.8691446569286411,0.0891595384104186,0.187134662086943,0.15432272463101998,0.0500648345980742,22.1461057304278,3.6343925157638903,3.2735886270061703,9.060446941628118,1.11973394403186,100.0,1.40882270853872e-06,0.0,0.0,0.0,0.0,1.11973394403186,0.0,0.0,0.0,1024.0
16,2019-01-25  06,0.0,2.1311475409836103,0.348927436623194,2.8461914061943503,3.5551804747265696,0.00027281482148362203,0.534684487999609,0.00027363449545903597,0.000192864030858245,92.0851116136775,3.1692618936493795,2.81768399758239,0.0882451728760845,0.0769179041924719,0.0122862584552816,0.009739013627768491,0.0,45799440.7868853,2.9139410058324398,2.58943722822614,881.3916665491611,780.9873765764689,59.639344262295104,11.5505411116803,228.754098360656,9754.61598404021,37.807373908203296,32.9295549204289,10.2991067979633,56.618109818280004,49.6424852156573,15.410014969769499,0.000273680177344755,0.0,0.0,9.66093758635107,34.8927436623194,90.3390624136489,0.0,0.0,0.0,0.0,38.9358014802771,34.184300276258995,0.00027336072407788597,0.00018628912071535,0.0,0.0,97.06927701867659,26.173179515541,23.0337836289672,7.12252375526175,0.00218506399506176,0.00179654165730968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057333829867577705,0.00411458040134423,30.279701082553302,99.7251703506897,0.727974936092399,87.1745247551275,0.0327898730376579,0.0285661894571547,99.96930552597509,0.0306944740249181,938.009774456781,830.629935352446,254.306246363569,0.0595552023161444,0.05180957088084401,0.0,0.0,100.0,377.408123978652,24.2679742945086,21.3475305721419,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612440.362958524,73.4075828108333,668440.761987004,76.8279691097574,0.0,0.0,0.0,0.0,74.76078649396041,66.3888569251543,65149.2815826679,7.022337221477059,94993.7378194232,10.356136647022302,0.00116410105427854,0.00136552895360433,0.00136552895360433,0.00116410105427854,7.952793161946759,7.04172459681108,23.5464480874317,0.0,38.237373864464004,33.507087615650896,99.9904965550012,6016.5423250554,5227.79110219496,1.14669645799698,1.00638402671995,0.0,30.750155178772804,99.7338674415293,0.266132558470689,3711.01947051886,0.0,0.854028204999527,73.2950819672131,15.528619060850199,11.8283054476879,99.9045681486355,0.0,23189000.3934426,46.195964606605905,41.0316298861442,234999875.14754102,90011.2786885246,0.9390493798361128,0.728863455614808,0.0843193450786679,0.179753934417849,0.141105413514725,0.0466537351027369,24.9661527452511,3.68685795872346,3.2585357853151,9.003615317761671,1.14041555258822,100.0,1.38858669149179e-06,0.0,0.0,0.0,0.0,1.14041555258822,0.0,0.0,0.0,1024.0
17,2019-01-25  08,0.0,3.28333333333333,0.399214034336062,3.1420197064768,4.56403463509711,0.0,0.6390170835019829,0.000277638958298628,0.000191570881226054,91.2916349355672,2.98531642409127,2.64822171128408,0.10500969809691099,0.0925612938697859,0.008332646569401091,0.006489642449794671,0.0,54166613.33333329,2.96825433793573,2.41736689284611,871.2506814746561,769.081330686584,60.9333333333333,9.98806966145833,228.8,9303.504686060529,114.334122693045,94.2908140500749,30.9437287825248,127.270615695879,105.79116170360399,34.4536020848734,0.0241548738598709,0.0,0.0,8.63030537864236,39.92140343360621,91.3696946213576,0.0,0.0,0.0,0.0,24.1825193362015,21.3140742746001,0.00027726945045194903,0.000198412698412698,0.0330378888922003,0.0285201987418659,95.10465243138691,30.7183978582122,26.6035268058772,8.43420149369093,0.0169350195868643,0.0123152536248648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.243759104426703,0.18727418517767702,30.2685982989535,99.9990837456478,0.86085008730378,96.602255424529,0.03414862369584,0.0264422588021075,99.4240712423468,0.577776355976854,998.5213829000149,874.8720896772189,274.93658439245496,0.0588730155460095,0.0508806829958162,0.008884585485035259,0.00829814189189189,100.0,378.932932731594,28.6312626756838,24.785795764348602,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712727.9424014541,82.32790744431259,769122.9348840909,85.7711710522297,0.0,0.0,0.0,0.0,87.0029219626375,76.8741794477369,76763.637388608,7.273011383280389,133382.939204658,10.8672447509971,0.00181785209657221,0.0022221775690529602,0.0790769581028746,0.0548829861961891,9.37056120466406,8.34716268462654,23.9777777777778,0.0,49.80450214917499,42.5120282181974,100.0,17631.8041809362,14488.065646250601,1.27327577246193,1.1069433082641598,0.0,34.925550504141604,97.80613467160109,2.1938653283988603,2807.15749790732,0.0,0.831944333615658,75.9666666666667,16.0946327683616,14.4057331085205,97.6896835365052,0.0,23191005.8666667,49.789361440467395,43.6499345883714,242478165.33333302,70314.6666666667,2.6321441698949,2.0798872772164603,0.329998825295228,0.457715618074425,0.37326080368678705,0.126309569360965,25.602721815221802,3.67570510584599,3.2279243644274502,8.556045371669,1.14915569318242,100.0,1.4187147223279e-06,0.00048309178743961395,0.000556111667222778,0.0,0.0,1.14915569318242,0.0,0.0,0.0,3072.0
18,2019-01-25  09,0.0,2.38983050847458,0.299140193091239,2.5892547352943702,4.21649537081599,0.0,0.574401112812724,0.0,0.0,91.88398926681592,2.7692616965018795,2.4065871069854,0.10635404037442801,0.0907922313098556,0.0048523723279945,0.0037601673435630704,0.0,43904295.0508475,4.00769353655408,3.42846791554914,766.484994879467,665.7557300542051,60.0847457627119,11.078853283898301,225.610169491525,9806.288565167091,39.5543580100194,33.7531005225502,10.977176585408099,60.6614930384058,52.12659495029101,16.8532764378249,0.0,0.0,0.0,9.749675163177471,29.914019309123898,90.25032483682249,0.0,0.0,0.0,0.0,33.68147374708639,29.176618682828604,0.00028281582750497005,0.00022301516503122202,0.000565065991873318,0.00045119610916602004,96.68069823864971,26.600400187617,23.1579031242695,7.38192966034289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0452689194985189,0.0324542722949911,30.2599840861592,99.8160070046443,0.6979864807528969,83.3501117609648,0.0304644347922393,0.0238126311686865,99.85831573800242,0.142948180904555,827.146553604626,717.8783641202,229.52803817232498,0.0593475550948494,0.0511558342802458,0.0,0.0,100.0,366.80345339890505,24.7803010933881,21.5611396419854,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580841.333381437,69.52616145866999,637456.5747521729,73.0003270719297,0.0,0.0,0.0,0.0,70.90349108409471,61.2763292080486,65073.001285995306,7.04911258178236,94542.2111138405,10.361403597960301,0.0034204304891403,0.00426312215401143,0.00426312215401143,0.0034204304891403,7.94348160229435,6.97222607846872,23.694915254237298,0.0,38.9997185507659,33.7684599274522,100.0,6078.21289723117,5118.709464224749,1.16259359329223,1.01121337452856,0.0,25.647912195198398,99.892364289675,0.107635710325034,2803.3683092119604,0.0,0.7053319738115,74.2033898305085,15.7210571674806,15.0608693785587,99.6654193264363,0.0,23175306.847457603,47.0378942791276,41.233916338134605,235035526.508475,70291.5254237288,1.16414207687266,0.912638210388161,0.11650646114381301,0.22233428478588,0.177348013300917,0.061906731386876,24.643954068530302,3.62117780273485,3.1685808738989003,8.84847644988363,1.15152817871818,100.0,1.39895700329685e-06,0.0,0.0,0.0,0.0,1.15152817871818,0.0,0.0,0.0,1024.0
19,2019-01-25  09,0.0,2.50819672131148,0.30219864970542404,2.8342463154267996,3.6906798779362,0.0,0.5168952510556221,0.0,0.0,91.8632051253521,2.71160240199053,2.37866083280717,0.12239224627836401,0.10587623536122899,0.0062836537540754,0.00518699780454475,0.0,43782043.2786885,2.0634881551124,1.6372618144788,776.9784759804841,677.9133535136431,59.8688524590164,10.0887551229508,224.70491803278702,8336.34417259554,36.6991984654519,31.493929182346,9.70121375308501,53.84152400923511,46.1873715801353,14.2355084166138,0.0,0.0,0.0,9.29321357387248,30.219864970542396,90.7067864261275,0.0,0.0,0.0,0.0,35.9844227572261,31.469846887670602,0.000272588005037426,0.000260213374967473,0.00027322404371584705,0.000199920031987205,96.2395864538328,26.8433786597417,23.319857399415604,7.11896547773115,0.0131191271407409,0.0126916975145426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0429090210398306,0.0409184017226127,30.279014814135103,99.9324069954482,0.6957444633346839,83.154686423816,0.0330641928088859,0.0289265445739973,99.856716122625,0.14425390356575302,830.819955856098,724.103014790047,217.751436454653,0.063920991380849,0.0547666152805218,0.0,0.0,100.0,403.99022933969803,24.8831284682519,21.608515072425,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580211.579031218,69.49940761254729,636150.606837429,72.8965086472468,0.0,0.0,0.0,0.0,70.8266034395407,61.6590343134202,63238.0945566662,6.85186964049541,93390.56047529,10.2674292283309,0.00182144926177748,0.0021839741125263697,0.0021839741125263697,0.00182144926177748,7.71949396443679,6.7450281014027205,23.622950819672102,0.0,41.556481705749505,36.239491869182,100.0,6012.14326082806,5187.18345912562,1.16233374455127,1.00286847891179,0.0,26.29348261226,99.64826365488778,0.351736345112189,2889.5066372464003,0.0,0.6854717775000561,73.85245901639341,15.6467074187274,14.8074631925489,99.512244981903,0.0,23189000.3934426,46.0522899161434,40.63536439257,235070212.196721,70370.6229508197,1.25329972381596,1.04112500318757,0.138743664717741,0.20430246755494502,0.167150084074017,0.052053989401318,23.3515207470126,3.79549919014767,3.2905031286812596,8.96670603951598,1.1618119403796998,100.0,1.3939303456096799e-06,0.0,0.0,0.0,0.0,1.1618119403796998,0.0,0.0,0.0,1024.0
